caseOrdinal,input,expectedIntent,needleBaseIntent,needleBaseConfidence,needleBaseIntentMatch,needleBaseParamMatch,needleBaseError,needleBaseResponseType,needleBaseToolName,needleBaseDiagnosticKind,needleBaseFallbackReason,needleBaseDurationMs,needleBaseInputTokens,needleBaseOutputTokens,needleBaseTokensEstimated,needleBaseCostUsd,needleBaseCostSource,needleBaseModelName,needleTuned20260905033826Intent,needleTuned20260905033826Confidence,needleTuned20260905033826IntentMatch,needleTuned20260905033826ParamMatch,needleTuned20260905033826Error,needleTuned20260905033826ResponseType,needleTuned20260905033826ToolName,needleTuned20260905033826DiagnosticKind,needleTuned20260905033826FallbackReason,needleTuned20260905033826DurationMs,needleTuned20260905033826InputTokens,needleTuned20260905033826OutputTokens,needleTuned20260905033826TokensEstimated,needleTuned20260905033826CostUsd,needleTuned20260905033826CostSource,needleTuned20260905033826ModelName
1,Where is my phone charger?,SEARCH_ITEM,UNCLEAR,0.504,False,False,,call,,empty-call,Needle returned no function calls,2420,,,,0,free,needleBase,UNCLEAR,,False,False,,call,,empty-call,Needle returned no function calls,2237,,,,0,free,needleTuned20260905033826
2,Find the box with my winter coats,SEARCH_ITEM,SEARCH_ITEM,0.0235,True,True,,call,search_item,tool-call,,2809,,,,0,free,needleBase,SEARCH_ITEM,,True,True,,call,search_item,tool-call,,2507,,,,0,free,needleTuned20260905033826
3,Do I have any spare HDMI cables?,SEARCH_ITEM,VIEW_INVENTORY,0.5034,False,False,,call,view_inventory,tool-call,,2583,,,,0,free,needleBase,SEARCH_ITEM,,True,False,,call,search_item,tool-call,,2227,,,,0,free,needleTuned20260905033826
4,Which box has the Christmas ornaments,SEARCH_ITEM,SEARCH_ITEM,0.9632,True,True,,call,search_item,tool-call,,2394,,,,0,free,needleBase,VIEW_INVENTORY,,False,False,,call,view_inventory,tool-call,,2554,,,,0,free,needleTuned20260905033826
5,search for my passport,SEARCH_ITEM,SEARCH_ITEM,0.7372,True,True,,call,search_item,tool-call,,1760,,,,0,free,needleBase,SEARCH_ITEM,,True,True,,call,search_item,tool-call,,1771,,,,0,free,needleTuned20260905033826
6,Add a drill to the garage tools box,ADD_ITEM,ADD_ITEM,0.0099,True,True,,call,add_item,tool-call,,2791,,,,0,free,needleBase,ADD_ITEM,,True,True,,call,add_item,tool-call,,2686,,,,0,free,needleTuned20260905033826
7,"I just bought 3 new notebooks, put them in the office box",ADD_ITEM,ADD_ITEM,0.0007,True,True,,call,add_item,tool-call,,3207,,,,0,free,needleBase,ADD_ITEM,,True,True,,call,add_item,tool-call,,3280,,,,0,free,needleTuned20260905033826
8,put a spare keyboard into box 12,ADD_ITEM,ADD_ITEM,0.0062,True,False,,call,add_item,tool-call,,2727,,,,0,free,needleBase,ADD_ITEM,,True,False,,call,add_item,tool-call,,2573,,,,0,free,needleTuned20260905033826
9,register this new lamp under living room items,ADD_ITEM,ADD_ITEM,0.9752,True,True,,call,add_item,tool-call,,2639,,,,0,free,needleBase,ADD_ITEM,,True,True,,call,add_item,tool-call,,2555,,,,0,free,needleTuned20260905033826
10,add two extra blankets to the linen closet box,ADD_ITEM,ADD_ITEM,0.3907,True,False,,call,add_item,tool-call,,2442,,,,0,free,needleBase,ADD_ITEM,,True,False,,call,add_item,tool-call,,2259,,,,0,free,needleTuned20260905033826
